Row	Sample	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	First Attempt	Incorrects	Hints	Corrects	Condition	KC (Default)	Opportunity (Default)	Predicted Error Rate (Default)	KC (Single-KC)	Opportunity (Single-KC)	Predicted Error Rate (Single-KC)	KC (Unique-step)	Opportunity (Unique-step)	Predicted Error Rate (Unique-step)
82	Control	1_1	Unit 12	Quarrel	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Quarrel	4	0.6154	Single-KC	82	0.5236	KC12	4	0.6154
83	Control	1_1	Unit 12	To_not_get_on_well	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_not_get_on_well	3	0.7008	Single-KC	83	0.5236	KC51	3	0.7008
84	Control	1_1	Unit 12	Occupation	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Occupation	3	0.6229	Single-KC	84	0.5236	KC13	3	0.6229
85	Control	1_1	Unit 12	Hydrolytic_power	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Hydrolytic_power	3	0.6087	Single-KC	85	0.5236	KC25	3	0.6087
86	Control	1_1	Unit 12	Bullying	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Bullying	3	0.3614	Single-KC	86	0.5236	KC45	3	0.3615
87	Control	1_1	Unit 12	To_associate_with	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_associate_with	3	0.6766	Single-KC	87	0.5236	KC58	3	0.6766
88	Control	1_1	Unit 12	To_associate_with	4	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_associate_with	4	0.6766	Single-KC	88	0.5236	KC58	4	0.6766
89	Control	1_1	Unit 12	Generation_of_electricity	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Generation_of_electricity	3	0.6338	Single-KC	89	0.5236	KC7	3	0.6338
90	Control	1_1	Unit 12	Be_polluted	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	Be_polluted	3	0.6545	Single-KC	90	0.5236	KC50	3	0.6545
91	Control	1_1	Unit 12	To_save	3	1	1970-01-18 03:05:24	1970-01-18 03:05:25		1970-01-18 03:05:25	0	.	0	incorrect	1	0	0	flashcard_1 (3_1)	To_save	3	0.6190	Single-KC	91	0.5236	KC19	3	0.6190
